text,intent,action,target_group,parameter,value_type
"Статор СТ-9 объем 2000, Шуруповёрт торцевой КС-592 объем 3.5",multi_set_parameter,set_multiple,all,quantity,absolute
увеличь объем операций на 0.2,update_parameter,increase,операция,quantity,absolute
уменьши сервисное время и переналадки у всех плазморезов на 25 процентов,update_parameter,decrease,all,service_time,percent
Крышка свинцовый СТ 15 коэффициент загрузки равным 0.8,set_parameter,set,all,kz,absolute
подними у операции сборки объём выпуска на 3,update_parameter,increase,сборка,quantity,absolute
"Шуруповёрт стальной S234 время наладки 1500, Кронштейн Ф-690 время наладки 11",multi_set_parameter,set_multiple,all,setup_time,absolute
"ВЦ-2 количество 0.9, ВЦ-3 20",multi_set_parameter,set_multiple,вентилятор,quantity,absolute
повысь время наладки для всех операций вчетверо,update_parameter,increase,all,setup_time,factor
уменьши сборку затраты на 10,update_parameter,decrease,сборка,cost,absolute
прибавь максимальное отклонение для сборки на 25 процентов,update_parameter,increase,сборка,max_deviation,percent
прибавь сборки притоки на 0.2,update_parameter,increase,сборка,inflow,absolute
сгенерируй 6 новых позиций всех операций,create_items,create,операция,quantity,count
задай для операции допустимое отклонение 2.5,set_parameter,set,операция,max_deviation,absolute
подними загрузку на 7 процентов,update_parameter,increase,all,kz,percent
у Шпиндель стальной Z 140 повысь количество на 3,update_parameter,increase,all,quantity,absolute
поменяй допустимое отклонение на 5,set_parameter,set,all,max_deviation,absolute
"Домкрат паронитовый Z555 такт выпуска 250, Подшипник литой СТ720 такт выпуска 1500, Цилиндр облегчённый P/N 265 такт выпуска 18",multi_set_parameter,set_multiple,all,takt,absolute
у Втулка В-8 уменьши объём втрое,update_parameter,decrease,all,quantity,factor
"установи такт выпуска: Направляющая электрический АРТ 208 11, Кулачок паронитовый P/N 934 1000",multi_set_parameter,set_multiple,all,takt,absolute
убавь операций сборки загрузки на 30 процентов,update_parameter,decrease,сборка,kz,percent
"РЦ-5 количество 750, РЦ-4 количество 11",multi_set_parameter,set_multiple,редуктор,quantity,absolute
"Плазморез электрический ПП703 переналадки 6, Направляющая В102 переналадки 1200, Муфта усиленный СТ 927 переналадки 1200",multi_set_parameter,set_multiple,all,setup_time,absolute
повысь всех позиций фонд рабочего времени на 2,update_parameter,increase,all,time_fund,absolute
"Подшипник 6204 такт 750, Муфта электрический Z 466 15",multi_set_parameter,set_multiple,all,takt,absolute
повысь операции стоимость на 10 процентов,update_parameter,increase,операция,cost,percent
продублируй ОП-2 пять раза,copy_items,copy,операция,none,count
убавь объём выпуска у всех всех вентиляторов на 8%,update_parameter,decrease,вентилятор,quantity,percent
убавь редуктора потери от рисков на 5 процентов,update_parameter,decrease,редуктор,risk_losses,percent
"1 год эксплуатационные затраты 8, 5 год эксплуатационные затраты 12",multi_set_parameter,set_multiple,economics,operating_costs,absolute
"Прокладка литой КС644 загрузки 2.5, Кронштейн свинцовый РЭ-381 загрузки 1.2, Шуруповёрт червячный РЧ-503 загрузки 1500",multi_set_parameter,set_multiple,all,kz,absolute
у Вал Ф-536 нарасти время операции на 3,update_parameter,increase,all,top,absolute
"установи объем: Кулачок сварной Ф105 40, Манжета торцевой Ф119 0.9",multi_set_parameter,set_multiple,all,quantity,absolute
создай новые сборки на основе СБ-3,copy_items,copy,сборка,none,count
подними операции сборки время обслуживания на 5 процентов,update_parameter,increase,сборка,service_time,percent
сделай станков на робота для редукторам 3.5,set_parameter,set,редуктор,max_machines_per_robot,absolute
зафиксируй стоимость у всех лебёдок до 3.0,set_parameter,set,all,cost,absolute
измени всех редукторов объем выпуска равным 0.8,set_parameter,set,редуктор,quantity,absolute
у Шпиндель опорный P/N255 сократи объем выпуска на 5,update_parameter,decrease,all,quantity,absolute
сделай базовые потери для вентилятора до 2.0,set_parameter,set,вентилятор,base_loss,absolute
"подними время операции , переналадка у всех плазморезов на 10",update_parameter,increase,all,top,absolute
выстави вентиляторы количество 5,set_parameter,set,вентилятор,quantity,absolute
"Шуруповёрт червячный РЭ 297 такт производства 9, Шуруповёрт облегчённый P/N602 1000",multi_set_parameter,set_multiple,all,takt,absolute
"установи такт производства: Шуруповёрт усиленный Ф-420 6, Компрессор опорный АРТ-345 15",multi_set_parameter,set_multiple,all,takt,absolute
"Перфоратор промышленный КН 389 переналадка 30, Генератор торцевой УТ 607 переналадка 1000",multi_set_parameter,set_multiple,all,setup_time,absolute
найти все операции в списке,show_items,show,операция,none,none
уменьши риск-потери у всех операций на 0.1,update_parameter,decrease,операция,risk_losses,absolute
"у Сальник стальной АРТ625 top 250, у Корпус насоса КН-3 top 8",multi_set_parameter,set_multiple,all,top,absolute
уменьши операций выручку на 10,update_parameter,decrease,операция,inflow,absolute
у Крышка усиленный В 605 увеличь объем выпуска на 7 процентов,update_parameter,increase,all,quantity,percent
установи для редукторам ставку дисконтирования равным 4,set_parameter,set,редуктор,discount_rate,absolute
задай объём инвестиций у сборку равным 12,set_parameter,set,сборка,initial_investment,absolute
выстави у сборочные операции переналадки равным 0.8,set_parameter,set,сборка,setup_time,absolute
повысь операция максимальное отклонение на 0.05,update_parameter,increase,операция,max_deviation,absolute
прибавь редукторов порог рентабельности на 7 процентов,update_parameter,increase,редуктор,profitability_threshold,percent
"Золотник усиленный РЭ 44 количество 25, Корпус приводной Ф 496 количество 100, Кронштейн свинцовый В-103 количество 25",multi_set_parameter,set_multiple,all,quantity,absolute
увеличь такт у всех сборки на 30 процентов,update_parameter,increase,сборка,takt,percent
"Кронштейн сварной СТ 780 время переналадки 3, Кулачок паронитовый ВП171 100",multi_set_parameter,set_multiple,all,setup_time,absolute
уменьши эксплуатационные затраты роботизированную операцию на 25 процентов,update_parameter,decrease,роботизированная операция,operating_costs,percent
увеличь у сборки фонд рабочего времени на 3,update_parameter,increase,сборка,time_fund,absolute
"у РЦ-4 коэффициент загрузки 3.5, у РЦ-2 коэффициент загрузки 150",multi_set_parameter,set_multiple,редуктор,kz,absolute
увеличь операции время наладки на 30 процентов,update_parameter,increase,операция,setup_time,percent
"Шестерня электрический КН 436 top 1.2, Генератор торцевой УТ 607 top 750, Плазморез свинцовый В 791 top 0.7",multi_set_parameter,set_multiple,all,top,absolute
у Направляющая свинцовый Ф-603 подними оперативное время на 3%,update_parameter,increase,all,top,percent
убавь операции сборки потери по рискам на 10 процентов,update_parameter,decrease,сборка,risk_losses,percent
прибавь всех операций выручку на 1.5,update_parameter,increase,операция,inflow,absolute
уменьши у всех рубанков стоимость втрое,update_parameter,decrease,all,cost,factor
"для Золотник усиленный РЭ 44 задай стоимости 1200, для Кронштейн КС 520 11",multi_set_parameter,set_multiple,all,cost,absolute
"Муфта усиленный СТ 927 загрузку 25, Статор торцевой P/N330 загрузку 20, Домкрат литой РЧ969 загрузку 20",multi_set_parameter,set_multiple,all,kz,absolute
"Кронштейн литой УТ818 переналадки 8, Толкатель свинцовый P/N651 переналадки 2, Кронштейн Ф-690 переналадки 7",multi_set_parameter,set_multiple,all,setup_time,absolute
"у Болгарка червячный УТ-200 загрузки 0.75, у Перфоратор механический РЭ 948 загрузки 18",multi_set_parameter,set_multiple,all,kz,absolute
"установи стоимости: Толкатель Т-11 1.2, Фланец червячный МУ278 1000",multi_set_parameter,set_multiple,all,cost,absolute
"Шестерня приводной В774 объем 60, Шуруповёрт червячный РЧ-503 4.0",multi_set_parameter,set_multiple,all,quantity,absolute
уменьши первоначальных инвестиций для роботизированную операцию на 3,update_parameter,decrease,роботизированная операция,initial_investment,absolute
"Звёздочка усиленный Ф 839 время наладки 4.0, Лебёдка опорный АРТ 637 10",multi_set_parameter,set_multiple,all,setup_time,absolute
сократи время обслуживания и стоимости у всех перфораторов на 12%,update_parameter,decrease,all,service_time,percent
"у Редуктор стальной УТ221 kz 1000, у Золотник гидравлический S269 kz 4.0",multi_set_parameter,set_multiple,all,kz,absolute
"у Толкатель Т-11 объем выпуска 0.8, у Золотник торцевой РЧ 148 объем выпуска 2000",multi_set_parameter,set_multiple,all,quantity,absolute
"для Редуктор упругий Z 808 переналадка 20, а для Кронштейн сварной СТ 780 переналадка 18",multi_set_parameter,set_multiple,all,setup_time,absolute
"Клапан упругий УТ 483 затраты 0.9, Сальник С-30 затраты 1200",multi_set_parameter,set_multiple,all,cost,absolute
перезагрузи страницу,unknown,none,none,none,none
увеличь базовый убыток вентилятор на 3,update_parameter,increase,вентилятор,base_loss,absolute
прибавь денежный приток у всех позиций на 2,update_parameter,increase,all,inflow,absolute
у Болгарка промышленный P/N-670 подними время наладки на 3%,update_parameter,increase,all,setup_time,percent
"Генератор стальной КН343 такт 25, Корпус приводной Ф 496 такт 8, Кронштейн усиленный РЧ957 такт 9",multi_set_parameter,set_multiple,all,takt,absolute
"для Шуруповёрт приводной АРТ 198 объём 1.8, а для Цилиндр усиленный Z-584 объём 18",multi_set_parameter,set_multiple,all,quantity,absolute
"установи загрузку: Фланец Ф-200 0.8, Перфоратор механический ВП 854 1.2",multi_set_parameter,set_multiple,all,kz,absolute
убавь первоначальных инвестиций для сборочные операции на 8%,update_parameter,decrease,сборка,initial_investment,percent
сократи плазморезов цену в 3 раза,update_parameter,decrease,all,cost,factor
"Цилиндр усиленный Z-584 объём 8, Статор В-993 11",multi_set_parameter,set_multiple,all,quantity,absolute
"Вал сварной РЧ 985 время операции 7, Генератор опорный S334 время операции 3, Кронштейн усиленный РЧ957 время операции 11",multi_set_parameter,set_multiple,all,top,absolute
задай коэффициент загрузки у всех генераторов 3.5,set_parameter,set,all,kz,absolute
"установи переналадку: Пакет пластин P/N 75 100, Кулачок паронитовый P/N 934 1.2",multi_set_parameter,set_multiple,all,setup_time,absolute
"РЦ-4 коэффициент загрузки 25, РЦ-5 коэффициент загрузки 60",multi_set_parameter,set_multiple,редуктор,kz,absolute
"установи такт: Клапан литой Z-473 2, Редуктор стальной УТ221 3.5",multi_set_parameter,set_multiple,all,takt,absolute
"Лебёдка опорный АРТ 637 время операции 2.5, Толкатель промышленный КО651 время операции 0.6, Манжета промышленный ПП-630 время операции 30",multi_set_parameter,set_multiple,all,top,absolute
"для Золотник промышленный Ф311 цену 12, а для Перфоратор паронитовый В-86 цену 12",multi_set_parameter,set_multiple,all,cost,absolute
у Перфоратор механический ВП 854 убавь объем на 15%,update_parameter,decrease,all,quantity,percent
"для 2 года поставь эксплуатационные затраты 0.7, а для 3 года 7",multi_set_parameter,set_multiple,economics,operating_costs,absolute
"для Клапан стальной УТ 401 объем 1.8, а для Кронштейн усиленный РЧ957 объем 12",multi_set_parameter,set_multiple,all,quantity,absolute
увеличь вентиляторов притоки на 30 процентов,update_parameter,increase,вентилятор,inflow,percent
поменяй порог окупаемости на 0.2,set_parameter,set,all,profitability_threshold,absolute
снизь вентиляторов максимальное отклонение на 5,update_parameter,decrease,вентилятор,max_deviation,absolute
нарасти операции сборки стоимости на 0.2,update_parameter,increase,сборка,cost,absolute
"Шуруповёрт торцевой Ф300 цену 500, Демпфер свинцовый КО-701 цену 2.5, Толкатель Т-11 цену 18",multi_set_parameter,set_multiple,all,cost,absolute
убавь у всех операции операционные затраты на 15%,update_parameter,decrease,операция,operating_costs,percent
"у Поршень промышленный УТ 784 поставь оперативное время 6, а у Поршень П-90 60",multi_set_parameter,set_multiple,all,top,absolute
у ВЦ-2 снизь такт выпуска в 2 раза,update_parameter,decrease,all,takt,factor
нарасти вентиляторы потери от рисков на 2,update_parameter,increase,вентилятор,risk_losses,absolute
создай новые операции на основе ОП-2,copy_items,copy,операция,none,count
установи для вентилятора максимальное число станков 5,set_parameter,set,вентилятор,max_machines_per_robot,absolute
уменьши время переналадки и объем выпуска у всех компрессоров на 30 процентов,update_parameter,decrease,all,setup_time,percent
увеличь робот. операции сервисное время на 20%,update_parameter,increase,роботизированная операция,service_time,percent
увеличь to у всех вентиляторы на 2,update_parameter,increase,вентилятор,service_time,absolute
у Компрессор опорный Z 15 уменьши такт выпуска на 10,update_parameter,decrease,all,takt,absolute
"для Шестерня электрический КН 436 задай загрузки 0.9, для Толкатель опорный S 863 0.7",multi_set_parameter,set_multiple,all,kz,absolute
"Сальник усиленный КН-188 загрузку 1.8, Прокладка литой КС644 загрузку 1500",multi_set_parameter,set_multiple,all,kz,absolute
задай ОП-2 коэффициент загрузки 12 и ОП-3 коэффициент загрузки 2,multi_set_parameter,set_multiple,операция,kz,absolute
задай загрузки для роботизированные звенья равным 4,set_parameter,set,роботизированная операция,kz,absolute
"для Ротор электродвигателя РЭ-7 задай объем выпуска 8, для Двигатель паронитовый P/N293 6",multi_set_parameter,set_multiple,all,quantity,absolute
"для СБ-2 поставь стоимость 0.9, для СБ-3 8",multi_set_parameter,set_multiple,сборка,cost,absolute
"Клапан стальной УТ 401 объем выпуска 11, Золотник свинцовый ПП144 0.8",multi_set_parameter,set_multiple,all,quantity,absolute
"Шуруповёрт усиленный Ф-420 коэффициент загрузки 750, Компрессор червячный РЭ-97 коэффициент загрузки 500, Демпфер гидравлический УТ182 коэффициент загрузки 0.7",multi_set_parameter,set_multiple,all,kz,absolute
сделай начальные инвестиции на 0.25,set_parameter,set,all,initial_investment,absolute
снизь вентиляторы максимальное допустимое отклонение на 7 процентов,update_parameter,decrease,вентилятор,max_deviation,percent
"Редуктор приводной P/N-218 время наладки 7, Муфта свинцовый КН-654 время наладки 3.5, Шестерня гидравлический В 566 время наладки 5",multi_set_parameter,set_multiple,all,setup_time,absolute
понизь редукторам максимальное отклонение на 10 процентов,update_parameter,decrease,редуктор,max_deviation,percent
"для Ротор свинцовый МУ128 задай загрузку 30, для Кронштейн механический МУ 352 150",multi_set_parameter,set_multiple,all,kz,absolute
"для Манжета свинцовый ВП-856 такт 0.75, а для Звёздочка усиленный Ф 839 такт 1.8",multi_set_parameter,set_multiple,all,takt,absolute
"установи kz: Толкатель промышленный КО651 100, Фланец червячный КО 558 1000",multi_set_parameter,set_multiple,all,kz,absolute
добавь 3 новых операции на базе ОП-4,copy_items,copy,операция,none,count
"СБ-1 стоимость 20, СБ-3 стоимость 60",multi_set_parameter,set_multiple,сборка,cost,absolute
уменьши доступный фонд времени у всех операций сборки на 5,update_parameter,decrease,сборка,time_fund,absolute
"Домкрат червячный P/N756 стоимости 500, Плазморез свинцовый P/N734 стоимости 3.5, Демпфер промышленный РЧ 323 стоимости 25",multi_set_parameter,set_multiple,all,cost,absolute
"для Редуктор приводной P/N-218 переналадку 25, а для Кулачок паронитовый ВП171 переналадку 1.2",multi_set_parameter,set_multiple,all,setup_time,absolute
уменьши фонд рабочего времени у всех всех редукторов на 20%,update_parameter,decrease,редуктор,time_fund,percent
уменьши операция эксплуатационные расходы на 10 процентов,update_parameter,decrease,операция,operating_costs,percent
снизь всё стоимость на 20%,update_parameter,decrease,all,cost,percent
"Болгарка промышленный МУ832 время переналадки 1.8, Генератор опорный S334 время переналадки 60, Сепаратор гидравлический СТ359 время переналадки 0.75",multi_set_parameter,set_multiple,all,setup_time,absolute
уменьши максимум станков у редукторы на 12%,update_parameter,decrease,редуктор,max_machines_per_robot,percent
сформируй 5 вентиляторы на базе ВЦ-3,copy_items,copy,вентилятор,none,count
понизь цену у всех сварочных аппаратов на 30 процентов,update_parameter,decrease,all,cost,percent
"Домкрат приводной ПП-324 объем 6, Домкрат червячный P/N756 объем 1200, Манжета P/N773 объем 0.6",multi_set_parameter,set_multiple,all,quantity,absolute
"для РЦ-2 поставь количество 20, для РЦ-5 0.7",multi_set_parameter,set_multiple,редуктор,quantity,absolute
"Муфта КО-651 цену 1500, Поршень Z 784 цену 60",multi_set_parameter,set_multiple,all,cost,absolute
снизь сборочные операции допустимое отклонение на 1.5,update_parameter,decrease,сборка,max_deviation,absolute
"у Шуруповёрт облегчённый P/N602 такт 0.8, у Фланец червячный УТ-404 такт 6",multi_set_parameter,set_multiple,all,takt,absolute
"у Направляющая свинцовый Ф-603 такт 20, у Демпфер гидравлический УТ182 такт 9",multi_set_parameter,set_multiple,all,takt,absolute
уменьши вентиляторов стоимости в 3 раза,update_parameter,decrease,all,cost,factor
сократи для всех операций первоначальных инвестиций на 7 процентов,update_parameter,decrease,операция,initial_investment,percent
"Кронштейн свинцовый РЭ-381 коэффициент загрузки 15, Направляющая электрический АРТ 208 коэффициент загрузки 2.5, Шуруповёрт червячный РЧ-503 коэффициент загрузки 7",multi_set_parameter,set_multiple,all,kz,absolute
сделай для операции начальные инвестиции 5,set_parameter,set,операция,initial_investment,absolute
снизь редуктора время обслуживания на 25 процентов,update_parameter,decrease,редуктор,service_time,percent
"Сальник усиленный КН-188 время наладки 0.9, Корпус опорный ПП 202 1200",multi_set_parameter,set_multiple,all,setup_time,absolute
"Домкрат литой РЧ969 объем 10, Компрессор гидравлический КС 667 объем 0.9",multi_set_parameter,set_multiple,all,quantity,absolute
Демпфер приводной АРТ707 оперативное время до 2.0,set_parameter,set,all,top,absolute
выстави объём у всех фрезеров до 2.0,set_parameter,set,all,quantity,absolute
"Подшипник приводной МУ-147 затраты 9, Толкатель промышленный КО651 затраты 0.9",multi_set_parameter,set_multiple,all,cost,absolute
"для ВЦ-4 задай количество 30, для ВЦ-3 7",multi_set_parameter,set_multiple,вентилятор,quantity,absolute
снизь сервисное время и объём выпуска у всех операций на 2,update_parameter,decrease,all,service_time,absolute
зафиксируй фонд рабочего времени у сборочные операции до 3.0,set_parameter,set,сборка,time_fund,absolute
увеличь вентилятора базовые потери на 10,update_parameter,increase,вентилятор,base_loss,absolute
увеличь у вентилятора объём на 25 процентов,update_parameter,increase,вентилятор,quantity,percent
"у Направляющая паронитовый АРТ-487 поставь такт 3, а у Домкрат свинцовый ПП-356 0.9",multi_set_parameter,set_multiple,all,takt,absolute
"у Генератор червячный КО-200 поставь коэффициент загрузки 0.7, а у Демпфер свинцовый КО-701 3",multi_set_parameter,set_multiple,all,kz,absolute
"Прокладка электрический В644 загрузки 3.5, Редуктор приводной P/N-218 загрузки 25, Домкрат свинцовый ПП-356 загрузки 250",multi_set_parameter,set_multiple,all,kz,absolute
"Подшипник 6204 коэффициент загрузки 0.7, Шуруповёрт гидравлический ПП 570 0.6",multi_set_parameter,set_multiple,all,kz,absolute
у Сепаратор СП-7 повысь загрузки на 12%,update_parameter,increase,all,kz,percent
поменяй to у операций сборки 2.5,set_parameter,set,сборка,service_time,absolute
поменяй у всех вентиляторов приток равным 0.8,set_parameter,set,вентилятор,inflow,absolute
понизь все операции расходы на обслуживание на 25 процентов,update_parameter,decrease,операция,maintenance_costs,percent
"Клапан стальной УТ 401 стоимости 2000, Шуруповёрт гидравлический КО 7 стоимости 15",multi_set_parameter,set_multiple,all,cost,absolute
уменьши у роботизированную операцию переналадки на 5 процентов,update_parameter,decrease,роботизированная операция,setup_time,percent
увеличь у всех у всех порог окупаемости на 0.2,update_parameter,increase,all,profitability_threshold,absolute
"у Домкрат торцевой РЧ 332 top 6, у Муфта сварной РЭ-263 top 1.2",multi_set_parameter,set_multiple,all,top,absolute
зафиксируй редукторам загрузки равным 0.8,set_parameter,set,редуктор,kz,absolute
установи эксплуатационные затраты робот. операции равным 12,set_parameter,set,роботизированная операция,operating_costs,absolute
уменьши сборки переналадка на 3,update_parameter,decrease,сборка,setup_time,absolute
измени загрузки у всех компрессоров 3.5,set_parameter,set,all,kz,absolute
"для Генератор литой Z175 время операции 1500, а для Корпус промышленный СТ138 время операции 0.9",multi_set_parameter,set_multiple,all,top,absolute
подними роботизированные операции затраты на 30 процентов,update_parameter,increase,роботизированная операция,cost,percent
у Направляющая Н-44 сократи количество на 3%,update_parameter,decrease,all,quantity,percent
"нарасти стоимость , притоки у всех компрессоров на 10",update_parameter,increase,all,cost,absolute
"Направляющая механический ВП 572 объем 5, Вал приводной ВП-12 60",multi_set_parameter,set_multiple,all,quantity,absolute
выстави у вентилятора число станков на робота до 2.0,set_parameter,set,вентилятор,max_machines_per_robot,absolute
"Шестерня червячный КС-195 стоимости 40, Домкрат торцевой РЧ 332 стоимости 25, Редуктор червячный РЧ-40 стоимости 25",multi_set_parameter,set_multiple,all,cost,absolute
сократи для все позиции затраты на 7 процентов,update_parameter,decrease,all,cost,percent
нарасти переналадку у всех виброплит на 15%,update_parameter,increase,all,setup_time,percent
"ВЦ-1 стоимость 2, ВЦ-3 500",multi_set_parameter,set_multiple,вентилятор,cost,absolute
нарасти у всех операция объем на 8%,update_parameter,increase,операция,quantity,percent
"Шуруповёрт усиленный МУ 843 такт производства 500, Демпфер литой ВП-49 такт производства 12, Шуруповёрт стальной S234 такт производства 0.6",multi_set_parameter,set_multiple,all,takt,absolute
подними у роботизированные операции фонд рабочего времени на 15%,update_parameter,increase,роботизированная операция,time_fund,percent
прибавь время наладки у всех операций на 30 процентов,update_parameter,increase,операция,setup_time,percent
подними ставку дисконтирования у всех операция на 7 процентов,update_parameter,increase,операция,discount_rate,percent
подними сборку расходы на обслуживание на 10,update_parameter,increase,сборка,maintenance_costs,absolute
"для Вал сварной РЧ 985 коэффициент загрузки 25, а для Поршень промышленный УТ 784 коэффициент загрузки 150",multi_set_parameter,set_multiple,all,kz,absolute
"для Шпиндель ШП-1 задай top 2000, для Демпфер промышленный РЧ 323 40",multi_set_parameter,set_multiple,all,top,absolute
выстави потери от рисков равным 4,set_parameter,set,all,risk_losses,absolute
"установи такт: Фланец промышленный РЭ103 250, Домкрат свинцовый ПП-356 3",multi_set_parameter,set_multiple,all,takt,absolute
"у Кулачок Ф-582 время операции 8, у Домкрат приводной ПП-324 время операции 6",multi_set_parameter,set_multiple,all,top,absolute
сократи top для операции сборки на 3,update_parameter,decrease,сборка,top,absolute
у Подшипник приводной КН686 понизь такт на 25 процентов,update_parameter,decrease,all,takt,percent
снизь top у всех компрессоров на 12%,update_parameter,decrease,all,top,percent
"Муфта упругий СТ342 время операции 1200, Манжета свинцовый ВП-856 время операции 11, Болгарка промышленный МУ832 время операции 3",multi_set_parameter,set_multiple,all,top,absolute
убавь всех позиций время наладки на 3%,update_parameter,decrease,all,setup_time,percent
"у Корпус промышленный СТ138 поставь top 750, а у Поршень промышленный УТ 784 1.8",multi_set_parameter,set_multiple,all,top,absolute
нарасти для редуктор операционные затраты на 30 процентов,update_parameter,increase,редуктор,operating_costs,percent
"Генератор паронитовый РЭ297 kz 1200, Клапан стальной МУ-277 kz 0.9",multi_set_parameter,set_multiple,all,kz,absolute
задай ВЦ-4 такт производства 1200 и ВЦ-3 такт производства 0.9,multi_set_parameter,set_multiple,вентилятор,takt,absolute
"СБ-2 оперативное время 2.5, СБ-1 оперативное время 100",multi_set_parameter,set_multiple,сборка,top,absolute
понизь у роботизированные звенья переналадка на 5 процентов,update_parameter,decrease,роботизированная операция,setup_time,percent
повысь у операция время обслуживания на 0.2,update_parameter,increase,операция,service_time,absolute
задай ОП-1 коэффициент загрузки 0.7 и ОП-4 коэффициент загрузки 1.8,multi_set_parameter,set_multiple,операция,kz,absolute
сделай максимальное допустимое отклонение на 4,set_parameter,set,all,max_deviation,absolute
"для Перфоратор механический ВП 854 время операции 0.75, а для Муфта электрический Z 466 время операции 18",multi_set_parameter,set_multiple,all,top,absolute
у Шуруповёрт торцевой Ф300 повысь время операции на 0.05,update_parameter,increase,all,top,absolute
установи для все операции эксплуатационные расходы до 2.0,set_parameter,set,операция,operating_costs,absolute
у Шестерня Z-32 понизь оперативное время на 25 процентов,update_parameter,decrease,all,top,percent
у СБ-1 снизь переналадку вчетверо,update_parameter,decrease,all,setup_time,factor
снизь для сборки эксплуатационные затраты на 10 процентов,update_parameter,decrease,сборка,operating_costs,percent
сгенерируй 8 позиций всех вентиляторов с разным сечением,create_items,create,вентилятор,section,count
"для Муфта упругая МУ-5 задай top 18, для Цилиндр стальной ПП-612 100",multi_set_parameter,set_multiple,all,top,absolute
"Лебёдка усиленный В-600 объем 40, Вал Ф-536 1500",multi_set_parameter,set_multiple,all,quantity,absolute
добавь 3 новых вентилятора на базе ВЦ-4,copy_items,copy,вентилятор,none,count
"установи загрузки: Муфта КО-651 1.2, Фланец торцевой ВП 365 10",multi_set_parameter,set_multiple,all,kz,absolute
уменьши число станков на робота у всех редуктора на 5,update_parameter,decrease,редуктор,max_machines_per_robot,absolute
"для Звёздочка гидравлический СТ182 стоимость 1500, а для Кулачок УТ-750 стоимость 750",multi_set_parameter,set_multiple,all,cost,absolute
"установи объём: Крышка сварной Z712 2000, Редуктор упругий Z 808 0.7",multi_set_parameter,set_multiple,all,quantity,absolute
"установи загрузку: Манжета свинцовый ВП-856 7, Втулка литой МУ492 0.9",multi_set_parameter,set_multiple,all,kz,absolute
"Генератор литой Z175 цену 60, Статор В-993 цену 0.7, Фланец червячный УТ-404 цену 2000",multi_set_parameter,set_multiple,all,cost,absolute
"Вал механический АРТ-387 оперативное время 18, Сепаратор опорный АРТ-915 оперативное время 5, Клемма свинцовая КС-1 оперативное время 4.0",multi_set_parameter,set_multiple,all,top,absolute
увеличь ставку дисконтирования у всех всех позиций на 3,update_parameter,increase,all,discount_rate,absolute
сократи у сабельных пил объем в 1.5 раза,update_parameter,decrease,all,quantity,factor
выстави роботизированную операцию порог окупаемости до 3.0,set_parameter,set,роботизированная операция,profitability_threshold,absolute
"для Шуруповёрт червячный РЧ-503 время операции 7, а для Золотник гидравлический S269 время операции 1.2",multi_set_parameter,set_multiple,all,top,absolute
сократи у редуктор число станков на робота на 0.1,update_parameter,decrease,редуктор,max_machines_per_robot,absolute
"у Звёздочка усиленный Ф 839 количество 1500, у Цилиндр стальной ПП-612 количество 750",multi_set_parameter,set_multiple,all,quantity,absolute
убавь редукторам максимальное отклонение на 15%,update_parameter,decrease,редуктор,max_deviation,percent
добавь 2 новых сборки на базе СБ-1,copy_items,copy,сборка,none,count
"Подшипник литой СТ720 такт выпуска 0.6, Втулка облегчённый Ф-497 такт выпуска 1000, Ротор опорный КС952 такт выпуска 750",multi_set_parameter,set_multiple,all,takt,absolute
уменьши редукторам риск-потери на 7 процентов,update_parameter,decrease,редуктор,risk_losses,percent
выстави денежные притоки у редукторов до 3.0,set_parameter,set,редуктор,inflow,absolute
снизь у всех операций сборки top на 7 процентов,update_parameter,decrease,сборка,top,percent
"у Опора качения ОК-2 объем 0.9, у Муфта упругий СТ342 объем 2",multi_set_parameter,set_multiple,all,quantity,absolute
снизь вентиляторов первоначальные инвестиции на 5,update_parameter,decrease,вентилятор,initial_investment,absolute
поменяй максимальное число станков на 12,set_parameter,set,all,max_machines_per_robot,absolute
"Фланец червячный МУ278 такт 5, Золотник гидравлический КН 834 40",multi_set_parameter,set_multiple,all,takt,absolute
задай для редукторам затраты на обслуживание 5,set_parameter,set,редуктор,maintenance_costs,absolute
"добавь еще 3 новых редуктора, данные возьми от редуктор РЦ-2",copy_items,copy,редуктор,none,count
установи у операций сборки число станков на робота равным 0.8,set_parameter,set,сборка,max_machines_per_robot,absolute
у Перфоратор паронитовый В-86 понизь объем выпуска на 5,update_parameter,decrease,all,quantity,absolute
"у редуктор РЦ-4 поставь коэффициент загрузки 9, а у РЦ-1 1.2",multi_set_parameter,set_multiple,редуктор,kz,absolute
нарасти роботизированную операцию максимальное допустимое отклонение на 1.5,update_parameter,increase,роботизированная операция,max_deviation,absolute
уменьши вентиляторы затраты на обслуживание на 15%,update_parameter,decrease,вентилятор,maintenance_costs,percent
снизь у краскопультов объем выпуска в 4 раза,update_parameter,decrease,all,quantity,factor
эй сколько стоит обучение,unknown,none,none,none,none
сократи для операции время переналадки на 8%,update_parameter,decrease,операция,setup_time,percent
у Кронштейн механический МУ 352 увеличь объем на 15%,update_parameter,increase,all,quantity,percent
повысь операции сборки переналадка на 3%,update_parameter,increase,сборка,setup_time,percent
нарасти дополнительные инвестиции операции на 2,update_parameter,increase,операция,additional_investment,absolute
у Кулачок паронитовый ВП171 увеличь переналадки на 12%,update_parameter,increase,all,setup_time,percent
"снизь притоки , цену у всех компрессоров на 20%",update_parameter,decrease,all,inflow,percent
